Month,gross_sales,cancelled_sales,net_sales,cancel_rate_pct
2010-12,775717.5,17612.81,758104.6900000001,2.270518584407339
2011-01,670439.46,91525.05,578914.41,13.651501061706602
2011-02,507866.54,9144.2,498722.34,1.8005123944570163
2011-03,689841.84,10621.14,679220.7,1.5396485664018291
2011-04,515499.661,33316.06,482183.601,6.4628674896451574
2011-05,740036.33,9367.78,730668.55,1.2658540696238523
2011-06,737683.99,14339.35,723344.64,1.9438337003897834
2011-07,688252.671,11407.26,676845.411,1.6574232808171698
2011-08,724308.16,23725.77,700582.39,3.2756458245617446
2011-09,1028345.381,16980.64,1011364.741,1.6512584501023786
2011-10,1103363.97,41797.12,1061566.85,3.788153423208119
2011-11,1452115.98,25075.32,1427040.66,1.7268124822922202
2011-12,614499.25,174091.36000000002,440407.89,28.33060577372552
