StockCode,Description,net_quantity,net_sales
22423,REGENCY CAKESTAND 3 TIER,12996,164459.49
47566,PARTY BUNTING,18006,98243.88
85123A,WHITE HANGING HEART T-LIGHT HOLDER,35002,97659.94
85099B,JUMBO BAG RED RETROSPOT,47256,92175.79
23084,RABBIT NIGHT LIGHT,30631,66661.63
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,18876,63715.240000000005
84879,ASSORTED COLOUR BIRD ORNAMENT,36282,58792.42
79321,CHILLI LIGHTS,10222,53746.66
23298,SPOTTY BUNTING,8210,42030.670000000006
22386,JUMBO BAG PINK POLKADOT,20992,41584.43
21137,BLACK RECORD COVER FRAME,11636,40578.21
22502,PICNIC BASKET WICKER 60 PIECES,61,39619.5
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,7329,37378.79
23284,DOORMAT KEEP CALM AND COME IN,5262,36532.39
22960,JAM MAKING SET WITH JARS,8448,36069.34
82484,WOOD BLACK BOARD ANT WHITE FINISH,5988,35795.97
20725,LUNCH BAG RED RETROSPOT,18658,34717.659999999996
22197,POPCORN HOLDER,36322,33959.26
22114,HOT WATER BOTTLE TEA AND SYMPATHY,5658,32663.34
22178,VICTORIAN GLASS HANGING T-LIGHT,23825,32508.42
22112,CHOCOLATE HOT WATER BOTTLE,5889,32277.7
85099F,JUMBO BAG STRAWBERRY,16987,32047.1
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,10243,31912.390000000003
22469,HEART OF WICKER SMALL,17828,31886.649999999998
23245,SET OF 3 REGENCY CAKE TINS,6255,30697.050000000003
22727,ALARM CLOCK BAKELIKE RED ,7729,30378.62
21931,JUMBO STORAGE BAG SUKI,13317,30161.68
22470,HEART OF WICKER LARGE,9819,29908.61
23199,JUMBO BAG APPLES,14185,29141.44
22355,CHARLOTTE BAG SUKI DESIGN,17974,29140.559999999998
23355,HOT WATER BOTTLE KEEP CALM,5720,28301.2
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,12220,27954.63
22699,ROSES REGENCY TEACUP AND SAUCER ,9427,27906.57
22457,NATURAL SLATE HEART CHALKBOARD ,9067,27839.010000000002
20685,DOORMAT RED RETROSPOT,4022,27588.32
85099C,JUMBO  BAG BAROQUE BLACK WHITE,13619,27536.86
22726,ALARM CLOCK BAKELIKE GREEN,6378,27001.53
23201,JUMBO BAG ALPHABET,12772,26774.81
21915,RED  HARMONICA IN BOX ,21836,26210.33
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,85,26103.98
22666,RECIPE BOX PANTRY YELLOW DESIGN,8118,25798.9
22629,SPACEBOY LUNCH BOX ,14195,25626.32
48138,DOORMAT UNION FLAG,3739,25436.65
22961,JAM MAKING SET PRINTED,16065,25212.03
21181,PLEASE ONE PERSON METAL SIGN,12187,25055.780000000002
23173,REGENCY TEAPOT ROSES ,2714,24442.73
22722,SET OF 6 SPICE TINS PANTRY DESIGN,5936,24318.260000000002
21621,VINTAGE UNION JACK BUNTING,2759,24287.83
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,8495,24246.870000000003
48187,DOORMAT NEW ENGLAND,3803,24076.59
22111,SCOTTIE DOG HOT WATER BOTTLE,4526,23910.940000000002
22138,BAKING SET 9 PIECE RETROSPOT ,4869,23874.170000000002
21731,RED TOADSTOOL LED NIGHT LIGHT,13815,23638.48
23203,JUMBO BAG VINTAGE DOILY ,10880,23458.44
22189,CREAM HEART CARD HOLDER,8276,23404.22
23344,JUMBO BAG 50'S CHRISTMAS ,10023,23285.11
21733,RED HANGING HEART T-LIGHT HOLDER,7815,23046.29
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,4683,22943.87
21623,VINTAGE UNION JACK MEMOBOARD,3265,22940.44
21929,JUMBO BAG PINK VINTAGE PAISLEY,10784,22791.99
22139,RETROSPOT TEA SET CERAMIC 11 PC ,4476,22672.960000000003
22090,PAPER BUNTING RETROSPOT,7490,22588.66
20713,JUMBO BAG OWLS,11186,22569.63
82482,WOODEN PICTURE FRAME WHITE FINISH,8753,22475.510000000002
22697,GREEN REGENCY TEACUP AND SAUCER,7135,22362.45
85066,CREAM SWEETHEART MINI CHEST,1743,22146.15
20727,LUNCH BAG  BLACK SKULL.,12067,22144.76
48194,DOORMAT HEARTS,3413,22090.57
21175,GIN + TONIC DIET METAL SIGN,9679,22017.14
15056N,EDWARDIAN PARASOL NATURAL,3893,21815.24
84029E,RED WOOLLY HOTTIE WHITE HEART.,4667,21769.280000000002
20712,JUMBO BAG WOODLAND ANIMALS,9533,21665.96
20724,RED RETROSPOT CHARLOTTE BAG,17538,21603.079999999998
21523,DOORMAT FANCY FONT HOME SWEET HOME,3240,21553.69
20728,LUNCH BAG CARS BLUE,11572,21371.98
23202,JUMBO BAG VINTAGE LEAF,10699,21367.97
22630,DOLLY GIRL LUNCH BOX,11505,21131.14
21212,PACK OF 72 RETROSPOT CAKE CASES,36016,21047.07
23206,LUNCH BAG APPLE DESIGN,12088,20755.43
21166,COOK WITH WINE METAL SIGN ,10237,20713.34
22728,ALARM CLOCK BAKELIKE PINK,5315,20518.4
22659,LUNCH BOX I LOVE LONDON,11182,20235.649999999998
21479,WHITE SKULL HOT WATER BOTTLE ,3730,19946.27
48185,DOORMAT FAIRY CAKE,2941,19318.01
84946,ANTIQUE SILVER T-LIGHT GLASS,14348,19032.41
21843,RED RETROSPOT CAKE STAND,1690,18873.8
82494L,WOODEN FRAME ANTIQUE WHITE ,6382,18688.54
22969,HOMEMADE JAM SCENTED CANDLES,12380,18585.35
22383,LUNCH BAG SUKI DESIGN ,10157,18482.03
22467,GUMBALL COAT RACK,7779,18461.170000000002
