CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12347,2,7,4310.0,5,5,5,15,High Value
12348,75,4,1437.24,2,4,4,10,At Risk
12349,19,1,1457.55,4,1,4,9,New
12350,310,1,294.4,1,1,2,4,Hibernating
12352,36,7,1265.41,3,5,4,12,Loyal
12353,204,1,89.0,1,1,1,3,Hibernating
12354,232,1,1079.4,1,1,4,6,Hibernating
12355,214,1,459.4,1,1,2,4,Hibernating
12356,23,3,2487.43,4,3,5,12,Potential
12357,33,1,6207.67,3,1,5,9,Regular
12358,2,2,928.06,5,3,4,12,Potential
12359,58,4,6182.98,3,4,5,12,Loyal
12360,52,3,2302.06,3,3,5,11,Regular
12361,287,1,174.9,1,1,1,3,Hibernating
12362,3,10,4665.58,5,5,5,15,High Value
12363,110,2,552.0,2,3,3,8,At Risk
12364,8,4,1208.1,5,4,4,13,High Value
12365,291,1,320.69,1,1,2,4,Hibernating
12367,4,1,150.9,5,1,1,7,New
12370,51,4,3421.94,3,4,5,12,Loyal
12371,60,1,1527.96,3,1,4,8,Regular
12372,72,3,1196.04,2,3,4,9,At Risk
12373,311,1,324.6,1,1,2,4,Hibernating
12374,25,1,622.93,4,1,3,8,New
12375,11,2,375.42,5,3,2,10,Potential
12377,315,2,1548.12,1,3,4,8,At Risk
12378,130,1,4008.62,2,1,5,8,Hibernating
12379,82,2,775.29,2,3,3,8,At Risk
12380,22,4,2423.56,4,4,5,13,High Value
12381,5,3,1433.46,5,3,4,12,Potential
12383,185,5,1617.31,1,4,4,9,At Risk
12384,29,2,406.16,4,3,2,9,Potential
12386,338,2,401.9,1,3,2,6,Regular
12388,16,6,2780.66,4,5,5,14,High Value
12390,80,1,504.84,2,1,3,6,Hibernating
12391,22,1,439.66,4,1,2,7,New
12393,72,4,1582.6,2,4,4,10,At Risk
12394,64,2,1080.48,3,3,4,10,Regular
12395,19,12,2662.28,4,5,5,14,High Value
12397,36,2,2214.9,3,3,5,11,Regular
12398,46,1,1435.66,3,1,4,8,Regular
12399,119,4,1033.65,2,4,4,10,At Risk
12401,303,1,69.3,1,1,1,3,Hibernating
12402,323,1,195.6,1,1,1,3,Hibernating
12403,50,1,391.7,3,1,2,6,Regular
12405,149,1,1390.39,2,1,4,7,Hibernating
12406,22,2,3280.75,4,3,5,12,Potential
12407,50,5,1507.12,3,4,4,11,Loyal
12408,33,5,2587.57,3,4,5,12,Loyal
12409,79,3,11056.93,2,3,5,10,At Risk
12410,309,2,521.08,1,3,3,7,At Risk
12412,75,3,1142.88,2,3,4,9,At Risk
12413,67,3,676.15,3,3,3,9,Regular
12414,217,3,442.41,1,3,2,6,Regular
12415,24,20,123638.18,4,5,5,14,High Value
12417,3,9,3155.8,5,5,5,15,High Value
12418,113,1,668.58,2,1,3,6,Hibernating
12420,64,1,600.39,3,1,3,7,Regular
12421,16,4,639.04,4,4,3,11,Loyal
12422,96,3,683.56,2,3,3,8,At Risk
12423,1,8,1624.11,5,5,4,14,High Value
12424,163,2,1760.96,2,3,4,9,At Risk
12425,78,1,777.2,2,1,3,6,Hibernating
12426,195,1,510.73,1,1,3,5,Hibernating
12427,22,3,582.37,4,3,3,10,Potential
12428,26,8,6366.0,4,5,5,14,High Value
12429,9,4,3388.4,5,4,5,14,High Value
12430,43,1,216.4,3,1,1,5,Regular
12431,36,15,6243.89,3,5,5,13,Loyal
12432,43,4,4359.32,3,4,5,12,Loyal
12433,1,7,13375.87,5,5,5,15,High Value
12434,85,2,765.19,2,3,3,8,At Risk
12435,80,2,7829.89,2,3,5,10,At Risk
12436,100,1,429.01,2,1,2,5,Hibernating
12437,2,18,4392.66,5,5,5,15,High Value
12438,14,2,2466.85,4,3,5,12,Potential
12441,367,1,155.55,1,1,1,3,Hibernating
12442,3,1,144.06,5,1,1,7,New
12444,21,5,4085.46,4,4,5,13,High Value
12445,22,1,77.4,4,1,1,6,New
12446,58,1,1002.31,3,1,4,8,Regular
12447,243,1,431.49,1,1,2,4,Hibernating
12448,44,1,365.45,3,1,2,6,Regular
12449,22,4,3596.29,4,4,5,13,High Value
12450,156,2,197.88,2,3,1,6,Regular
12451,11,5,8893.52,5,4,5,14,High Value
12452,17,1,348.57,4,1,2,7,New
12453,134,1,707.09,2,1,3,6,Hibernating
12455,73,5,2339.86,2,4,5,11,At Risk
12456,44,3,2553.89,3,3,5,11,Regular
12457,66,6,1597.78,3,5,4,12,Loyal
12458,71,2,787.4,3,3,3,9,Regular
12461,155,1,626.88,2,1,3,6,Hibernating
12462,19,2,872.01,4,3,3,10,Potential
12463,53,4,1165.63,3,4,4,11,Loyal
12464,10,8,957.05,5,5,4,14,High Value
12465,17,2,673.89,4,3,3,10,Potential
12468,188,2,652.04,1,3,3,7,At Risk
12471,2,27,16323.52,5,5,5,15,High Value
12472,32,7,5725.48,4,5,5,14,High Value
12473,54,3,2545.27,3,3,5,11,Regular
12474,17,18,6434.77,4,5,5,14,High Value
12475,54,1,669.38,3,1,3,7,Regular
12476,16,11,5628.58,4,5,5,14,High Value
12477,23,6,13117.01,4,5,5,14,High Value
12478,4,1,545.99,5,1,3,9,New
12479,11,1,423.3,5,1,2,8,New
12480,28,4,2885.63,4,4,5,13,High Value
12481,23,10,4998.36,4,5,5,14,High Value
12483,17,8,1873.13,4,5,4,13,High Value
12484,35,4,3892.87,3,4,5,12,Loyal
12488,10,3,1244.66,5,3,4,12,Potential
12489,336,1,298.93,1,1,2,4,Hibernating
12490,5,10,4859.93,5,5,5,15,High Value
12491,39,1,424.4,3,1,2,6,Regular
12492,63,2,227.21,3,3,1,7,Regular
12493,166,2,362.79,2,3,2,7,Regular
12494,16,7,995.35,4,5,4,13,High Value
12497,82,1,953.1,2,1,4,7,Hibernating
12498,21,3,349.7,4,3,2,9,Potential
12500,23,11,4026.27,4,5,5,14,High Value
12501,337,1,1945.68,1,1,4,6,Hibernating
12502,96,5,2995.87,2,4,5,11,At Risk
12504,18,2,60.0,4,3,1,8,Potential
12506,233,1,73.5,1,1,1,3,Hibernating
12507,134,3,1006.06,2,3,4,9,At Risk
12508,26,2,397.88,4,3,2,9,Potential
12509,284,1,158.5,1,1,1,3,Hibernating
12510,143,2,814.57,2,3,3,8,At Risk
12512,66,2,132.18,3,3,1,7,Regular
12513,113,1,532.79,2,1,3,6,Hibernating
12514,267,1,1017.68,1,1,4,6,Hibernating
12515,353,1,278.7,1,1,2,4,Hibernating
12516,78,2,1186.06,2,3,4,9,At Risk
12517,28,4,2263.65,4,4,5,13,High Value
12518,1,5,1840.89,5,4,4,13,High Value
12519,64,1,276.84,3,1,2,6,Regular
12520,79,5,2294.51,2,4,5,11,At Risk
12521,143,1,545.68,2,1,3,6,Hibernating
12522,39,2,156.72,3,3,1,7,Regular
12523,19,11,1655.57,4,5,4,13,High Value
12524,9,8,3945.72,5,5,5,15,High Value
12526,1,3,1172.66,5,3,4,12,Potential
12527,82,3,330.71,2,3,2,7,Regular
12528,9,6,1634.28,5,5,4,14,High Value
12530,60,4,1461.63,3,4,4,11,Loyal
12531,15,1,125.22,4,1,1,6,New
12532,30,1,313.83,4,1,2,7,New
12534,131,1,981.18,2,1,4,7,Hibernating
12535,92,2,716.35,2,3,3,8,At Risk
12536,59,1,4151.26,3,1,5,9,Regular
12538,29,1,363.95,4,1,2,7,New
12539,22,4,5568.35,4,4,5,13,High Value
12540,20,17,11489.04,4,5,5,14,High Value
12541,30,3,841.18,4,3,3,10,Potential
